Data e hora;Cidade
16/10/2024 - 18:10:10;Santo André
Código do Produto;Nome do Produto;Preço (R$);Em Estoque;Categoria/Subtipo;Marca;Status produto ativo
97;Trufado;10,00;true;Cone;Senhor Sorvete;true
98;Crocante;10,00;true;Cone;Senhor Sorvete;true
99;Niño com creme de avelã;50,00;true;Pote;Senhor Sorvete;true
100;Niño com morango;50,00;true;Pote;Senhor Sorvete;true
101;Niño trufado;50,00;true;Pote;Senhor Sorvete;true
102;Ninho com doce de leite;50,00;true;Pote;Senhor Sorvete;true
103;Rafaelo;50,00;true;Pote;Senhor Sorvete;true
104;Kinder;50,00;true;Pote;Senhor Sorvete;true
105;Pavê italiano;50,00;true;Pote;Senhor Sorvete;true
106;Doce de leite folhado;50,00;true;Pote;Senhor Sorvete;true
107;Iogurte grego com morango;50,00;true;Pote;Senhor Sorvete;true
108;Napolitano;50,00;true;Pote Pequenos;Senhor Sorvete;true
109;Açaí Pequeno;50,00;true;Açai Pequeno;Senhor Sorvete;true
110;Açaí Grande;50,00;true;Açai;Senhor Sorvete;true
111;Açaí com ninho;50,00;true;Açai;Senhor Sorvete;true
112;Açaí com nutela;50,00;true;Açai;Senhor Sorvete;true
